win,lose,probability
Cleveland Cavaliers,New York Knicks,"tensor([0.8968], grad_fn=<RsubBackward1>)"
Golden State Warriors,San Antonio Spurs,"tensor([0.9552], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Utah Jazz,"tensor([0.9780], grad_fn=<RsubBackward1>)"
Boston Celtics,Brooklyn Nets,"tensor([0.9872], grad_fn=<RsubBackward1>)"
Indiana Pacers,Dallas Mavericks,"tensor([0.9914], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Houston Rockets,"tensor([0.9936], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Minnesota Timberwolves,"tensor([0.9948], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Charlotte Hornets,"tensor([0.9954], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Denver Nuggets,"tensor([0.9958], grad_fn=<RsubBackward1>)"
Orlando Magic,Miami Heat,"tensor([0.9960], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Oklahoma City Thunder,"tensor([0.9962], grad_fn=<RsubBackward1>)"
Phoenix Suns,Sacramento Kings,"tensor([0.9963], grad_fn=<RsubBackward1>)"
Toronto Raptors,Detroit Pistons,"tensor([0.9964], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Washington Wizards,"tensor([0.9965], grad_fn=<RsubBackward1>)"
Chicago Bulls,Boston Celtics,"tensor([0.9966], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Los Angeles Clippers,"tensor([0.9967], grad_fn=<RsubBackward1>)"
Sacramento Kings,San Antonio Spurs,"tensor([0.9967], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Indiana Pacers,"tensor([0.9968], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Houston Rockets,"tensor([0.9968], grad_fn=<RsubBackward1>)"
Detroit Pistons,Orlando Magic,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Miami Heat,Charlotte Hornets,"tensor([0.9969], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Golden State Warriors,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Phoenix Suns,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Toronto Raptors,Cleveland Cavaliers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Utah Jazz,Los Angeles Lakers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Chicago Bulls,Indiana Pacers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Boston Celtics,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Orlando Magic,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Denver Nuggets,Portland Trail Blazers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Brooklyn Nets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New York Knicks,Memphis Grizzlies,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Atlanta Hawks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Sacramento Kings,Minnesota Timberwolves,"tensor([0.9970], grad_fn=<RsubBackward1>)"
San Antonio Spurs,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Los Angeles Lakers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Phoenix Suns,Golden State Warriors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Sacramento Kings,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Chicago Bulls,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Phoenix Suns,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Toronto Raptors,Denver Nuggets,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Houston Rockets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Detroit Pistons,New York Knicks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Indiana Pacers,Los Angeles Lakers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Miami Heat,Sacramento Kings,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Memphis Grizzlies,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Milwaukee Bucks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Orlando Magic,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Golden State Warriors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Los Angeles Lakers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Boston Celtics,Chicago Bulls,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Detroit Pistons,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Houston Rockets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Phoenix Suns,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Oklahoma City Thunder,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Sacramento Kings,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Phoenix Suns,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Atlanta Hawks,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Houston Rockets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Detroit Pistons,Denver Nuggets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Indiana Pacers,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Sacramento Kings,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Minnesota Timberwolves,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Orlando Magic,Washington Wizards,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Los Angeles Clippers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Boston Celtics,Denver Nuggets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Milwaukee Bucks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Phoenix Suns,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Portland Trail Blazers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New York Knicks,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,New Orleans Pelicans,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Detroit Pistons,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Miami Heat,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Phoenix Suns,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Sacramento Kings,New Orleans Pelicans,"tensor([0.9972], grad_fn=<RsubBackward1>)"
