win,lose,probability
Atlanta Hawks,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Phoenix Suns,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Chicago Bulls,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,New Orleans Pelicans,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Sacramento Kings,Los Angeles Lakers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Boston Celtics,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Cleveland Cavaliers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Detroit Pistons,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Houston Rockets,San Antonio Spurs,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Indiana Pacers,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Los Angeles Clippers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Los Angeles Lakers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Phoenix Suns,Brooklyn Nets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Toronto Raptors,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Phoenix Suns,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Los Angeles Lakers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Toronto Raptors,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Phoenix Suns,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Indiana Pacers,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Memphis Grizzlies,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New York Knicks,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Sacramento Kings,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Toronto Raptors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Indiana Pacers,Phoenix Suns,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Sacramento Kings,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Golden State Warriors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Charlotte Hornets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Orlando Magic,Dallas Mavericks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Phoenix Suns,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Washington Wizards,Miami Heat,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Portland Trail Blazers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Denver Nuggets,Utah Jazz,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Chicago Bulls,"tensor([0.9969], grad_fn=<RsubBackward1>)"
New York Knicks,Atlanta Hawks,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Indiana Pacers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Sacramento Kings,Toronto Raptors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Orlando Magic,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Boston Celtics,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Miami Heat,"tensor([0.9968], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Dallas Mavericks,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Washington Wizards,Phoenix Suns,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Atlanta Hawks,New Orleans Pelicans,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Denver Nuggets,Chicago Bulls,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Oklahoma City Thunder,"tensor([0.9969], grad_fn=<RsubBackward1>)"
New York Knicks,Portland Trail Blazers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Boston Celtics,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Charlotte Hornets,San Antonio Spurs,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Los Angeles Lakers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Phoenix Suns,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Sacramento Kings,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Oklahoma City Thunder,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Detroit Pistons,Los Angeles Clippers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Indiana Pacers,Brooklyn Nets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Golden State Warriors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Miami Heat,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Toronto Raptors,"tensor([0.9969], grad_fn=<RsubBackward1>)"
New York Knicks,Charlotte Hornets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Orlando Magic,Washington Wizards,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Chicago Bulls,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Phoenix Suns,Minnesota Timberwolves,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,New Orleans Pelicans,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Sacramento Kings,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Atlanta Hawks,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Orlando Magic,Milwaukee Bucks,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Cleveland Cavaliers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Phoenix Suns,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Charlotte Hornets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Miami Heat,Boston Celtics,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Los Angeles Clippers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Detroit Pistons,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Los Angeles Lakers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Orlando Magic,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Utah Jazz,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Los Angeles Lakers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Dallas Mavericks,San Antonio Spurs,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Denver Nuggets,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,New York Knicks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Washington Wizards,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Phoenix Suns,Atlanta Hawks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Milwaukee Bucks,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Orlando Magic,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Utah Jazz,Miami Heat,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Detroit Pistons,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Boston Celtics,Sacramento Kings,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Chicago Bulls,Cleveland Cavaliers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Denver Nuggets,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Minnesota Timberwolves,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Orlando Magic,"tensor([0.9969], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Washington Wizards,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Toronto Raptors,Los Angeles Lakers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Phoenix Suns,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Los Angeles Lakers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
